true	predicted
Империя солнца (фильм)	Форрест Гамп
Империя солнца (фильм)	Крысолов (фильм)
Империя солнца (фильм)	На Западном фронте без перемен (фильм, 1930)
Империя солнца (фильм)	Живая плоть
Изгои (фильм, 1983)	Угрюм-река (телесериал)
Изгои (фильм, 1983)	Огни большой деревни
Изгои (фильм, 1983)	Они (фильм, 1992)
Изгои (фильм, 1983)	Бьютифул
Изгои (фильм, 1983)	Старая черешня
Изгои (фильм, 1983)	Я ещё вернусь (фильм)
Изгои (фильм, 1983)	Тихий Дон (фильм, 1930)
Изгои (фильм, 1983)	Золушка (телемюзикл, 2002)
Изгои (фильм, 1983)	Алиса и Букинист
Изгои (фильм, 1983)	Весёлые Жабокричи
Оборотень (фильм, 2000)	Ореховый прутик
Оборотень (фильм, 2000)	Синяя птица (фильм, 1976)
Оборотень (фильм, 2000)	Тролль (фильм)
Оборотень (фильм, 2000)	Крошечка Хаврошечка (мультфильм, 2006)
Оборотень (фильм, 2000)	Мексиканские приключения
Оборотень (фильм, 2000)	Девочка в джунглях
Оборотень (фильм, 2000)	Bewitched Bunny
Оборотень (фильм, 2000)	Зайчонок и муха
Оборотень (фильм, 2000)	Последняя Мимзи Вселенной
Оборотень (фильм, 2000)	Растрёпанный воробей
Невероятные приключения янки в Африке	Бивни (фильм)
Невероятные приключения янки в Африке	Большие спорщики
Невероятные приключения янки в Африке	Блэк энд уайт
Невероятные приключения янки в Африке	Корни неба (фильм)
Невероятные приключения янки в Африке	Сказка про доброго слона (мультфильм)
Невероятные приключения янки в Африке	Повешение (фильм)
Невероятные приключения янки в Африке	Бланкмэн
Невероятные приключения янки в Африке	Кровавая лошадь
Невероятные приключения янки в Африке	В час ночи
Невероятные приключения янки в Африке	Чёрная глотка
Народ против Ларри Флинта	Часто задаваемые вопросы о путешествиях во времени
Народ против Ларри Флинта	Возвращение живых мертвецов
Народ против Ларри Флинта	На даче (мультфильм)
Народ против Ларри Флинта	Облигация (фильм, 1918)
Народ против Ларри Флинта	Немножко беременна
Народ против Ларри Флинта	Прогулка (фильм, 2003)
Народ против Ларри Флинта	Сексдрайв
Народ против Ларри Флинта	Застенчивый
Народ против Ларри Флинта	Уикенд (фильм, 2011)
Народ против Ларри Флинта	Пользуйтесь
Эффект бабочки (фильм)	Рентгеновские лучи (фильм)
Лангольеры (мини-сериал)	Рентгеновские лучи (фильм)
Начало (фильм, 2010)	Рентгеновские лучи (фильм)
Дежа вю (фильм, 2006)	Рентгеновские лучи (фильм)
Исполнитель желаний	Рентгеновские лучи (фильм)
Исходный код (фильм)	Рентгеновские лучи (фильм)
Двенадцать ноль одна пополуночи	Рентгеновские лучи (фильм)
Машина времени (фильм, 2002)	Рентгеновские лучи (фильм)
Пиджак (фильм)	Рентгеновские лучи (фильм)
Если только	Рентгеновские лучи (фильм)
Между небом и землёй (фильм, 2005)	Рентгеновские лучи (фильм)
Эффект бабочки (фильм)	Возмездие (фильм, 1916)
Лангольеры (мини-сериал)	Возмездие (фильм, 1916)
Начало (фильм, 2010)	Возмездие (фильм, 1916)
Дежа вю (фильм, 2006)	Возмездие (фильм, 1916)
Исполнитель желаний	Возмездие (фильм, 1916)
Исходный код (фильм)	Возмездие (фильм, 1916)
Двенадцать ноль одна пополуночи	Возмездие (фильм, 1916)
Машина времени (фильм, 2002)	Возмездие (фильм, 1916)
Пиджак (фильм)	Возмездие (фильм, 1916)
Если только	Возмездие (фильм, 1916)
Между небом и землёй (фильм, 2005)	Возмездие (фильм, 1916)
Эффект бабочки (фильм)	Пристрели их
Лангольеры (мини-сериал)	Пристрели их
Начало (фильм, 2010)	Пристрели их
Дежа вю (фильм, 2006)	Пристрели их
Исполнитель желаний	Пристрели их
Исходный код (фильм)	Пристрели их
Двенадцать ноль одна пополуночи	Пристрели их
Машина времени (фильм, 2002)	Пристрели их
Пиджак (фильм)	Пристрели их
Если только	Пристрели их
Между небом и землёй (фильм, 2005)	Пристрели их
Эффект бабочки (фильм)	Висельники
Лангольеры (мини-сериал)	Висельники
Начало (фильм, 2010)	Висельники
Дежа вю (фильм, 2006)	Висельники
Исполнитель желаний	Висельники
Исходный код (фильм)	Висельники
Двенадцать ноль одна пополуночи	Висельники
Машина времени (фильм, 2002)	Висельники
Пиджак (фильм)	Висельники
Если только	Висельники
Между небом и землёй (фильм, 2005)	Висельники
Эффект бабочки (фильм)	Человек — швейцарский нож
Лангольеры (мини-сериал)	Человек — швейцарский нож
Начало (фильм, 2010)	Человек — швейцарский нож
Дежа вю (фильм, 2006)	Человек — швейцарский нож
Исполнитель желаний	Человек — швейцарский нож
Исходный код (фильм)	Человек — швейцарский нож
Двенадцать ноль одна пополуночи	Человек — швейцарский нож
Машина времени (фильм, 2002)	Человек — швейцарский нож
Пиджак (фильм)	Человек — швейцарский нож
Если только	Человек — швейцарский нож
Между небом и землёй (фильм, 2005)	Человек — швейцарский нож
Эффект бабочки (фильм)	Слепое доверие
Лангольеры (мини-сериал)	Слепое доверие
Начало (фильм, 2010)	Слепое доверие
Дежа вю (фильм, 2006)	Слепое доверие
Исполнитель желаний	Слепое доверие
Исходный код (фильм)	Слепое доверие
Двенадцать ноль одна пополуночи	Слепое доверие
Машина времени (фильм, 2002)	Слепое доверие
Пиджак (фильм)	Слепое доверие
Если только	Слепое доверие
Между небом и землёй (фильм, 2005)	Слепое доверие
Эффект бабочки (фильм)	Тебе конец!
Лангольеры (мини-сериал)	Тебе конец!
Начало (фильм, 2010)	Тебе конец!
Дежа вю (фильм, 2006)	Тебе конец!
Исполнитель желаний	Тебе конец!
Исходный код (фильм)	Тебе конец!
Двенадцать ноль одна пополуночи	Тебе конец!
Машина времени (фильм, 2002)	Тебе конец!
Пиджак (фильм)	Тебе конец!
Если только	Тебе конец!
Между небом и землёй (фильм, 2005)	Тебе конец!
Эффект бабочки (фильм)	Восставший из ада 8: Мир ада
Лангольеры (мини-сериал)	Восставший из ада 8: Мир ада
Начало (фильм, 2010)	Восставший из ада 8: Мир ада
Дежа вю (фильм, 2006)	Восставший из ада 8: Мир ада
Исполнитель желаний	Восставший из ада 8: Мир ада
Исходный код (фильм)	Восставший из ада 8: Мир ада
Двенадцать ноль одна пополуночи	Восставший из ада 8: Мир ада
Машина времени (фильм, 2002)	Восставший из ада 8: Мир ада
Пиджак (фильм)	Восставший из ада 8: Мир ада
Если только	Восставший из ада 8: Мир ада
Между небом и землёй (фильм, 2005)	Восставший из ада 8: Мир ада
Эффект бабочки (фильм)	Клетка 2
Лангольеры (мини-сериал)	Клетка 2
Начало (фильм, 2010)	Клетка 2
Дежа вю (фильм, 2006)	Клетка 2
Исполнитель желаний	Клетка 2
Исходный код (фильм)	Клетка 2
Двенадцать ноль одна пополуночи	Клетка 2
Машина времени (фильм, 2002)	Клетка 2
Пиджак (фильм)	Клетка 2
Если только	Клетка 2
Между небом и землёй (фильм, 2005)	Клетка 2
Эффект бабочки (фильм)	Некромантик
Лангольеры (мини-сериал)	Некромантик
Начало (фильм, 2010)	Некромантик
Дежа вю (фильм, 2006)	Некромантик
Исполнитель желаний	Некромантик
Исходный код (фильм)	Некромантик
Двенадцать ноль одна пополуночи	Некромантик
Машина времени (фильм, 2002)	Некромантик
Пиджак (фильм)	Некромантик
Если только	Некромантик
Между небом и землёй (фильм, 2005)	Некромантик
Исполнитель желаний	Секта (фильм)
Исполнитель желаний	В мире должна царить красота
Исполнитель желаний	Афера (фильм, 2003)
Исполнитель желаний	В постели с дьяволом
Исполнитель желаний	Ограбление (фильм, 1897)
Исполнитель желаний	Адреналин (фильм, 1990)
Исполнитель желаний	Ведьма (фильм, 1916)
Исполнитель желаний	Дом призраков 3D
Исполнитель желаний	Преступление без страсти
Исполнитель желаний	Аллея кошмаров (фильм, 2021)
Начало (фильм, 2010)	Бегство мистера Мак-Кинли (фильм)
Начало (фильм, 2010)	Корпорация снов
Начало (фильм, 2010)	Пробуждение жизни
Начало (фильм, 2010)	Чернила (фильм)
Начало (фильм, 2010)	Сламбер: Лабиринты сна
Начало (фильм, 2010)	Девочки из Эквестрии. Легенды вечнозелёного леса
Начало (фильм, 2010)	Призрак дома на холме (фильм, 1999)
Начало (фильм, 2010)	Тихое местечко за городом
Начало (фильм, 2010)	Ночные мечты
Начало (фильм, 2010)	Тихая Земля (фильм)
Хэллоуин (фильм, 1978)	Восход луны
Хэллоуин (фильм, 1978)	Фара (фильм)
Хэллоуин (фильм, 1978)	Бугимен (фильм, 1982)
Хэллоуин (фильм, 1978)	Полицейский-убийца
Хэллоуин (фильм, 1978)	Зелёный Шершень (фильм, 2011)
Хэллоуин (фильм, 1978)	Кошмар зомби
Хэллоуин (фильм, 1978)	Рука-убийца
Хэллоуин (фильм, 1978)	Дорога на Арлингтон
Хэллоуин (фильм, 1978)	Ночь живых мертвецов (фильм, 1968)
Хэллоуин (фильм, 1978)	Насилие (фильм)
Подозрительные лица	Повешение (фильм)
Подозрительные лица	Лицо со шрамом (фильм, 1932)
Подозрительные лица	Изгоняющий дьявола 3
Подозрительные лица	Гладиатор (фильм, 1986)
Подозрительные лица	Преступление без страсти
Подозрительные лица	Плёнки из Поукипзи
Подозрительные лица	Who Killed Who?
Подозрительные лица	Квин и Слим
Подозрительные лица	Восход луны
Подозрительные лица	Это убийство
Сделка с дьяволом (фильм)	Приключения Шаркбоя и Лавы
Сделка с дьяволом (фильм)	Удачи, Чак!
Сделка с дьяволом (фильм)	Удачи, Чак
Сделка с дьяволом (фильм)	Охотники за монстрами
Сделка с дьяволом (фильм)	В час ночи
Сделка с дьяволом (фильм)	Панки (фильм)
Сделка с дьяволом (фильм)	Чудовище (мультфильм)
Сделка с дьяволом (фильм)	Лоботрясы
Сделка с дьяволом (фильм)	Звезда-80
Сделка с дьяволом (фильм)	Аллея кошмаров (фильм, 2021)
Адвокат дьявола (фильм)	Baby Puss
Адвокат дьявола (фильм)	Съешь свой макияж
Адвокат дьявола (фильм)	Пиковая дама: Чёрный обряд
Адвокат дьявола (фильм)	Астрал (фильм)
Адвокат дьявола (фильм)	Мальки (мультфильм)
Адвокат дьявола (фильм)	Приманки
Адвокат дьявола (фильм)	Мальчишник (фильм, 2003)
Адвокат дьявола (фильм)	Полтергейст (фильм, 1982)
Адвокат дьявола (фильм)	Девочка и вещи
Адвокат дьявола (фильм)	Polka-Dot Puss
Другие (фильм, 2001)	Сердце-обличитель (мультфильм)
Паранормальное явление (фильм)	Сердце-обличитель (мультфильм)
Иные (фильм, 2018)	Сердце-обличитель (мультфильм)
Другие (фильм, 2001)	Отмщённая ложь
Паранормальное явление (фильм)	Отмщённая ложь
Иные (фильм, 2018)	Отмщённая ложь
Другие (фильм, 2001)	Яга. Кошмар тёмного леса
Паранормальное явление (фильм)	Яга. Кошмар тёмного леса
Иные (фильм, 2018)	Яга. Кошмар тёмного леса
Другие (фильм, 2001)	Убийственное безумие
Паранормальное явление (фильм)	Убийственное безумие
Иные (фильм, 2018)	Убийственное безумие
Другие (фильм, 2001)	Проклятие (фильм, 2002)
Паранормальное явление (фильм)	Проклятие (фильм, 2002)
Иные (фильм, 2018)	Проклятие (фильм, 2002)
Другие (фильм, 2001)	Двойник тела
Паранормальное явление (фильм)	Двойник тела
Иные (фильм, 2018)	Двойник тела
Другие (фильм, 2001)	Тёмный дом
Паранормальное явление (фильм)	Тёмный дом
Иные (фильм, 2018)	Тёмный дом
Другие (фильм, 2001)	Это убийство
Паранормальное явление (фильм)	Это убийство
Иные (фильм, 2018)	Это убийство
Другие (фильм, 2001)	Неистовый (фильм, 2020)
Паранормальное явление (фильм)	Неистовый (фильм, 2020)
Иные (фильм, 2018)	Неистовый (фильм, 2020)
Другие (фильм, 2001)	Синистер
Паранормальное явление (фильм)	Синистер
Иные (фильм, 2018)	Синистер
Поворот не туда	Свора (фильм, 2010)
Обезображенная	Свора (фильм, 2010)
Поворот не туда	День матери (фильм, 1980)
Обезображенная	День матери (фильм, 1980)
Поворот не туда	Недетское кино
Обезображенная	Недетское кино
Поворот не туда	Клуб «Плейбоя»
Обезображенная	Клуб «Плейбоя»
Поворот не туда	Сингапурский Слинг (фильм)
Обезображенная	Сингапурский Слинг (фильм)
Поворот не туда	Последняя пятница. Джейсон отправляется в ад
Обезображенная	Последняя пятница. Джейсон отправляется в ад
Поворот не туда	Сладкоежка (фильм)
Обезображенная	Сладкоежка (фильм)
Поворот не туда	Девочка и медведь
Обезображенная	Девочка и медведь
Поворот не туда	Мэри-Куки и тарантул-убийца
Обезображенная	Мэри-Куки и тарантул-убийца
Поворот не туда	Облигация (фильм, 1918)
Обезображенная	Облигация (фильм, 1918)
Секс-миссия	Метеоидиот
Секс-миссия	Американский киборг: Стальной воин
Секс-миссия	Мегамозг
Секс-миссия	Между мирами (фильм, 1991)
Секс-миссия	Приманки
Секс-миссия	Проклятые (фильм, 2004)
Секс-миссия	Страна Оз (фильм, 2014)
Секс-миссия	Город и деревня
Секс-миссия	Тебе конец!
Секс-миссия	Мама (фильм, 2013)
Масло Лоренцо	Вымышленные герои
Масло Лоренцо	Тварь (фильм)
Масло Лоренцо	Маленький лекарь
Масло Лоренцо	Обещание чуда
Масло Лоренцо	Что гложет Гилберта Грэйпа
Масло Лоренцо	Древо жизни (фильм)
Масло Лоренцо	Проклятье голодающего класса
Масло Лоренцо	Мамочка-маньячка-убийца
Масло Лоренцо	Босс-молокосос
Масло Лоренцо	Под колпаком
Дом у озера (фильм, 2006)	Ведьмовство (фильм)
Дом у озера (фильм, 2006)	Парк авеню, 666
Дом у озера (фильм, 2006)	Автостопом по галактике (фильм)
Дом у озера (фильм, 2006)	Отпуск без конца
Дом у озера (фильм, 2006)	Секвойи вечнозелёные
Дом у озера (фильм, 2006)	Безвыходная ситуация
Дом у озера (фильм, 2006)	Человек, который был Шерлоком Холмсом
Дом у озера (фильм, 2006)	Человек в сети
Дом у озера (фильм, 2006)	Один за всех!
Дом у озера (фильм, 2006)	Входите без стука
Клетка (фильм, 2000)	Дерби (фильм)
Клетка (фильм, 2000)	Скачки с препятствиями (мультфильм)
Клетка (фильм, 2000)	Самый красивый конь (фильм)
Клетка (фильм, 2000)	Топор III
Клетка (фильм, 2000)	Про шмелей и королей
Клетка (фильм, 2000)	Год Лошади: Созвездие скорпиона
Клетка (фильм, 2000)	Эрик-викинг
Клетка (фильм, 2000)	Предпоследний
Клетка (фильм, 2000)	Розенкранц и Гильденстерн мертвы (фильм)
Клетка (фильм, 2000)	Легенда о сэре Гавейне и Зелёном рыцаре
Мумия: Гробница императора драконов	Минута молчания (фильм)
Мумия: Гробница императора драконов	Чудо волков (фильм, 1924)
Мумия: Гробница императора драконов	Она носила жёлтую ленту
Мумия: Гробница императора драконов	Время ведьм (фильм, 2010)
Мумия: Гробница императора драконов	Рождённый свободным
Мумия: Гробница императора драконов	Вой Банши
Мумия: Гробница императора драконов	Ящик смерти
Мумия: Гробница императора драконов	Во имя короля 2
Мумия: Гробница императора драконов	Ричард III (фильм, 1995)
Мумия: Гробница императора драконов	Беспрецедентная защита крепости Дойчкройц
Добрый сынок	Кто наш папа, чувак?
Добрый сынок	Други игрищ и забав
Добрый сынок	Что у Сеньки было
Добрый сынок	Неродившийся ребёнок 2
Добрый сынок	Чужая родня
Добрый сынок	Магнус (фильм)
Добрый сынок	Впереди день (фильм)
Добрый сынок	Жизнь, как она есть
Добрый сынок	Человеческий капитал (фильм)
Добрый сынок	Ловец снов (фильм, 2020)
Где моя тачка, чувак?	Вход в никуда
Где моя тачка, чувак?	Красотки в молоке
Где моя тачка, чувак?	Мои собственные ошибки
Где моя тачка, чувак?	Герой (фильм, 1992)
Где моя тачка, чувак?	Курить/Не курить
Где моя тачка, чувак?	Ночь дьяволов
Где моя тачка, чувак?	Ze фильм
Где моя тачка, чувак?	Плёнка (фильм)
Где моя тачка, чувак?	Новые большие неприятности
Где моя тачка, чувак?	Сумрак разума
Чёртов мобильник	Вор (фильм, 1952)
Чёртов мобильник	Лекарство от любви (фильм)
Чёртов мобильник	Бен 10 против вселенной: фильм
Чёртов мобильник	Али, рули!
Чёртов мобильник	Молчание ягнят (фильм)
Чёртов мобильник	Напротив по коридору
Чёртов мобильник	Исповедь наёмного убийцы
Чёртов мобильник	Дорогой Боженька
Чёртов мобильник	Малавита (фильм)
Чёртов мобильник	Незнакомец (фильм, 2015)
Сделка с дьяволом (фильм)	Братство 5: Выпускники
Письмо счастья (фильм)	Братство 5: Выпускники
Чёртов мобильник	Братство 5: Выпускники
Сделка с дьяволом (фильм)	Sayonara, Zetsubou-Sensei
Письмо счастья (фильм)	Sayonara, Zetsubou-Sensei
Чёртов мобильник	Sayonara, Zetsubou-Sensei
Сделка с дьяволом (фильм)	Смелые игры
Письмо счастья (фильм)	Смелые игры
Чёртов мобильник	Смелые игры
Сделка с дьяволом (фильм)	Миллион мелочей
Письмо счастья (фильм)	Миллион мелочей
Чёртов мобильник	Миллион мелочей
Сделка с дьяволом (фильм)	Тетрадь смерти (фильм, 2006)
Письмо счастья (фильм)	Тетрадь смерти (фильм, 2006)
Чёртов мобильник	Тетрадь смерти (фильм, 2006)
Сделка с дьяволом (фильм)	Проклятие повешенного
Письмо счастья (фильм)	Проклятие повешенного
Чёртов мобильник	Проклятие повешенного
Сделка с дьяволом (фильм)	Призрачный мир
Письмо счастья (фильм)	Призрачный мир
Чёртов мобильник	Призрачный мир
Сделка с дьяволом (фильм)	На берегу реки
Письмо счастья (фильм)	На берегу реки
Чёртов мобильник	На берегу реки
Сделка с дьяволом (фильм)	Один пропущенный звонок (фильм, 2003)
Письмо счастья (фильм)	Один пропущенный звонок (фильм, 2003)
Чёртов мобильник	Один пропущенный звонок (фильм, 2003)
Сделка с дьяволом (фильм)	Ночь живых придурков
Письмо счастья (фильм)	Ночь живых придурков
Чёртов мобильник	Ночь живых придурков
Зеркала (фильм, 2008)	Зеркала 2
Зеркала (фильм, 2008)	Я обвиняю (фильм)
Зеркала 2	Я обвиняю (фильм)
Зеркала (фильм, 2008)	Некромантик 2
Зеркала 2	Некромантик 2
Зеркала (фильм, 2008)	Не смотри вниз
Зеркала 2	Не смотри вниз
Зеркала (фильм, 2008)	Порождённый
Зеркала 2	Порождённый
Зеркала (фильм, 2008)	Страх.com
Зеркала 2	Страх.com
Зеркала (фильм, 2008)	Блуждающий огонёк
Зеркала 2	Блуждающий огонёк
Зеркала (фильм, 2008)	Город призраков (фильм, 2008)
Зеркала 2	Город призраков (фильм, 2008)
Зеркала (фильм, 2008)	Воспоминания (фильм, 2013)
Зеркала 2	Воспоминания (фильм, 2013)
Зеркала (фильм, 2008)	Страшилы
Зеркала 2	Страшилы
DOA: Живым или мёртвым	Виндария
DOA: Живым или мёртвым	Сашка (фильм)
DOA: Живым или мёртвым	Заяц Ватанена
DOA: Живым или мёртвым	V Центурия. В поисках зачарованных сокровищ
DOA: Живым или мёртвым	Escaflowne (фильм)
DOA: Живым или мёртвым	Красный Барон (фильм)
DOA: Живым или мёртвым	Журнал Политсатиры № 2
DOA: Живым или мёртвым	Диллинджер мёртв
DOA: Живым или мёртвым	Бойня номер пять (фильм)
DOA: Живым или мёртвым	Кингсглейв: Последняя фантазия XV
Джуманджи (фильм)	Маугли (мультфильм)
Джуманджи (фильм)	Тарзан 2
Джуманджи (фильм)	Дом 2: Проклятая обитель
Джуманджи (фильм)	Дора и затерянный город
Джуманджи (фильм)	Волшебный парк Джун
Джуманджи (фильм)	Кристофер Робин (фильм)
Джуманджи (фильм)	Карусельный лев
Джуманджи (фильм)	Стюарт Литтл (фильм)
Джуманджи (фильм)	Сэмбо (мультфильм)
Джуманджи (фильм)	Haré+Guu
Человек с Земли	Летние люди
Человек с Земли	Нужные вещи (фильм)
Человек с Земли	В горах моё сердце (фильм, 1967)
Человек с Земли	Mister Пронька
Человек с Земли	Барин (фильм)
Человек с Земли	Барьер (фильм, 1966)
Человек с Земли	Машина времени (фильм, 1960)
Человек с Земли	Жил-был настройщик
Человек с Земли	Гринч (мультфильм)
Человек с Земли	Врата тьмы
Город Эмбер: Побег	Обречённость (фильм)
Город Эмбер: Побег	Врата (фильм, 2009)
Город Эмбер: Побег	Человек в пенсне
Город Эмбер: Побег	Живи для меня
Город Эмбер: Побег	Тайный круг (телесериал)
Город Эмбер: Побег	Пленницы
Город Эмбер: Побег	Дело прошлое…
Город Эмбер: Побег	Врата (фильм, 1987)
Город Эмбер: Побег	Благодаря Винн-Дикси (фильм)
Город Эмбер: Побег	Мысленный волк (фильм)
Экипаж (фильм, 1994)	Тысячелетие (фильм)
2012 (фильм)	Тысячелетие (фильм)
Зубастики (фильм)	Тысячелетие (фильм)
Лангольеры (мини-сериал)	Тысячелетие (фильм)
Экипаж (фильм, 1994)	Два долгих гудка в тумане
2012 (фильм)	Два долгих гудка в тумане
Зубастики (фильм)	Два долгих гудка в тумане
Лангольеры (мини-сериал)	Два долгих гудка в тумане
Экипаж (фильм, 1994)	Лестница в небо (фильм, 1946)
2012 (фильм)	Лестница в небо (фильм, 1946)
Зубастики (фильм)	Лестница в небо (фильм, 1946)
Лангольеры (мини-сериал)	Лестница в небо (фильм, 1946)
Экипаж (фильм, 1994)	Явление (телесериал, 2019)
2012 (фильм)	Явление (телесериал, 2019)
Зубастики (фильм)	Явление (телесериал, 2019)
Лангольеры (мини-сериал)	Явление (телесериал, 2019)
Экипаж (фильм, 1994)	Остров в небе (фильм, 1953)
2012 (фильм)	Остров в небе (фильм, 1953)
Зубастики (фильм)	Остров в небе (фильм, 1953)
Лангольеры (мини-сериал)	Остров в небе (фильм, 1953)
Экипаж (фильм, 1994)	Обитель зла: Вырождение
2012 (фильм)	Обитель зла: Вырождение
Зубастики (фильм)	Обитель зла: Вырождение
Лангольеры (мини-сериал)	Обитель зла: Вырождение
Экипаж (фильм, 1994)	Ракетчик (фильм)
2012 (фильм)	Ракетчик (фильм)
Зубастики (фильм)	Ракетчик (фильм)
Лангольеры (мини-сериал)	Ракетчик (фильм)
Экипаж (фильм, 1994)	Большие крылья (фильм)
2012 (фильм)	Большие крылья (фильм)
Зубастики (фильм)	Большие крылья (фильм)
Лангольеры (мини-сериал)	Большие крылья (фильм)
Экипаж (фильм, 1994)	Набат (фильм, 1983)
2012 (фильм)	Набат (фильм, 1983)
Зубастики (фильм)	Набат (фильм, 1983)
Лангольеры (мини-сериал)	Набат (фильм, 1983)
Экипаж (фильм, 1994)	Призрак (фильм, 2015)
2012 (фильм)	Призрак (фильм, 2015)
Зубастики (фильм)	Призрак (фильм, 2015)
Лангольеры (мини-сериал)	Призрак (фильм, 2015)
Заплати другому	Ангелы у кромки поля (фильм, 1994)
Заплати другому	Чары колдовские
Заплати другому	Яд (фильм, 1991)
Заплати другому	Пацаны (фильм, 1983)
Заплати другому	Авель, твой брат
Заплати другому	Где дом друга?
Заплати другому	Время падения
Заплати другому	На Западном фронте без перемен (фильм, 1930)
Заплати другому	Я люблю тебя (фильм, 1986)
Заплати другому	Фара (фильм)
Чёрный рыцарь (фильм)	Большое золото мистера Гринвуда
Рыцарь Камелота	Большое золото мистера Гринвуда
Чёрный рыцарь (фильм)	Седьмая печать
Рыцарь Камелота	Седьмая печать
Чёрный рыцарь (фильм)	Не время для орехов
Рыцарь Камелота	Не время для орехов
Чёрный рыцарь (фильм)	Одиссея (мини-сериал)
Рыцарь Камелота	Одиссея (мини-сериал)
Чёрный рыцарь (фильм)	Шаг с крыши (фильм)
Рыцарь Камелота	Шаг с крыши (фильм)
Чёрный рыцарь (фильм)	Гоблины 2
Рыцарь Камелота	Гоблины 2
Чёрный рыцарь (фильм)	Почтальон (фильм, 1997)
Рыцарь Камелота	Почтальон (фильм, 1997)
Чёрный рыцарь (фильм)	Дракула против Франкенштейна (фильм, 1972)
Рыцарь Камелота	Дракула против Франкенштейна (фильм, 1972)
Чёрный рыцарь (фильм)	Тот самый Мюнхгаузен
Рыцарь Камелота	Тот самый Мюнхгаузен
Чёрный рыцарь (фильм)	Сказ про Федота-стрельца
Рыцарь Камелота	Сказ про Федота-стрельца
Девушка моих кошмаров	Руководство для женатого мужчины
Девушка моих кошмаров	Дом с паранормальными явлениями 2
Девушка моих кошмаров	Аршин мал алан (фильм, 1945)
Девушка моих кошмаров	Разбивающий сердца
Девушка моих кошмаров	Возврат (фильм, 2006, Великобритания)
Девушка моих кошмаров	Мой друг из Фару
Девушка моих кошмаров	Двадцать минут любви
Девушка моих кошмаров	Триллер (фильм)
Девушка моих кошмаров	Женщина с кинжалом (фильм)
Девушка моих кошмаров	Мальчик в девочке
Пуля в голове	Лазурь и тьма (фильм)
Пуля в голове	Легенда о красном драконе
Пуля в голове	Город скорби
Пуля в голове	Японские девушки в порту
Пуля в голове	Прикосновение греха
Пуля в голове	Смертельный ринг
Пуля в голове	Приветствия
Пуля в голове	Император и убийца
Пуля в голове	Самоубийство влюблённых на острове Небесных сетей
Пуля в голове	Танцовщица из Идзу: Там, где распускаются цветы любви
Эффект бабочки 2	Стэнли и Айрис
Эффект бабочки (фильм)	Стэнли и Айрис
Эффект бабочки 3: Откровения	Стэнли и Айрис
Внутри моей памяти	Стэнли и Айрис
Эффект бабочки 2	Вдребезги (фильм, 1991)
Эффект бабочки (фильм)	Вдребезги (фильм, 1991)
Эффект бабочки 3: Откровения	Вдребезги (фильм, 1991)
Внутри моей памяти	Вдребезги (фильм, 1991)
Эффект бабочки 2	Фанатик (фильм, 2000)
